song_id,artist_id
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,7
50,7
51,7
52,7
53,7
54,7
55,8
56,8
57,8
58,8
59,8
60,8
61,8
62,9
63,9
64,9
65,9
66,9
67,9
68,9
69,10
70,10
71,10
72,10
73,10
74,10
75,10
76,10
77,11
78,11
79,11
80,11
81,11
82,11
83,12
84,12
85,12
86,12
87,12
88,12
89,12
90,12
91,12
92,13
93,13
94,13
95,13
96,13
97,13
98,13
99,14
100,14
101,14
102,14
103,14
104,15
105,15
106,15
107,15
108,15
109,15
110,15
111,15
112,16
113,16
114,16
115,16
116,16
117,16
118,16
119,16
120,16
121,17
122,17
123,17
124,17
125,17
126,17
127,18
128,18
129,18
130,18
131,18
132,18
133,18
134,19
135,19
136,19
137,19
138,19
139,19
140,19
141,19
142,20
143,20
144,20
145,20
146,20
147,20
148,20
149,21
150,21
151,21
152,21
153,21
154,21
155,22
156,22
157,22
158,22
159,22
160,22
161,22
162,22
163,22
164,23
165,23
166,23
167,23
168,23
169,24
170,24
171,24
172,24
173,24
174,25
175,25
176,25
177,25
178,25
179,25
180,25
